R_in_CGS;V_in_CGS;Bo;We;Coefficient of Restitution;Contact Time;Maximum Radius
;;0;0.0000013;0.9577;7.5688;0.1952
;;0;0.0000016;0.9577;7.1715;0.1952
;;0;0.000002;0.9577;6.8033;0.1952
;;0;0.0000026;0.9577;6.5148;0.1952
;;0;0.0000032;0.9577;6.2770;0.1952
;;0;0.0000041;0.9577;6.0684;0.1952
;;0;0.0000052;0.9577;5.8782;0.1952
;;0;0.00000066;0.9577;5.7079;0.1952
;;0;0.0000083;0.9577;5.5591;0.1952
;;0;0.0000105;0.9577;5.4317;0.1953
;;0;0.0000133;0.9577;5.3182;0.1953
;;0;0.0000168;0.9577;5.2169;0.1953
;;0;0.0000212;0.9577;5.1264;0.1953
;;0;0.0000268;0.9577;5.0436;0.1953
;;0;0.000039;0.9577;4.9669;0.1953
;;0;0.0000429;0.9577;4.8978;0.1953
;;0;0.0000543;0.9577;4.8349;0.1953
;;0;0.0000687;0.9577;4.7766;0.1953
;;0;0.0000869;0.9577;4.7245;0.1953
;;0;0.0001;0.9577;4.6784;0.1953
;;0;0.00014;0.9577;4.6370;0.1953
;;0;0.0001;0.9577;4.5987;0.1954
;;0;0.00018;0.9577;4.5649;0.1954
;;0;0.0002;0.9577;4.5342;0.1954
;;0;0.00028;0.9577;4.5051;0.1954
;;0;0.00035;0.9577;4.4790;0.1955
;;0;0.00045;0.9640;4.4207;0.3428
;;0;0.00057;0.9689;4.3685;0.3423
;;0;0.0007;0.9696;4.2673;0.3421
;;0;0.0009;0.9683;4.1645;0.3423
;;0;0.0012;0.9683;4.0464;0.3426
;;0;0.0015;0.9682;3.9405;0.3429
;;0;0.0018;0.9668;3.8699;0.3432
;;0;0.0023;0.9646;3.8208;0.3435
;;0;0.0029;0.9628;3.7764;0.4831
;;0;0.0037;0.9653;3.7380;0.4826
;;0;0.0047;0.9694;3.6674;0.4820
;;0;0.0060;0.9704;3.6091;0.4815
;;0;0.0075;0.9690;3.5539;0.4828
;;0;0.0095;0.9671;3.5186;0.6163
;;0;0.0121;0.9689;3.4542;0.6164
;;0;0.0153;0.9708;3.3821;0.6164
;;0;0.0193;0.9711;3.2808;0.6151
;;0;0.0244;0.9713;3.1949;0.7458
;;0;0.0309;0.9733;3.1259;0.7468
;;0;0.0391;0.9760;3.0492;0.7482
;;0;0.0494;0.9755;2.9939;0.8724
;;0;0.0625;0.9761;2.9372;0.8780
;;0;0.0791;0.9757;2.8865;0.8814
;;0;0.1;0.9730;2.8267;0.9787
;;0;0.1;0.9730;2.8267;0.9787
;;0;0.1495;0.9665;2.7408;1.0898
;;0;0.1990;0.9597;2.6641;1.1267
;;0;0.2485;0.9523;2.6058;1.2251
;;0;0.2980;0.9462;2.5628;1.2570
;;0;0.3475;0.9399;2.5199;1.2797
;;0;0.3970;0.9340;2.4892;1.3648
;;0;0.4465;0.9284;2.4677;1.3938
;;0;0.4960;0.9227;2.4478;1.4161
;;0;0.5455;0.9169;2.4294;1.4331
;;0;0.5949;0.9116;2.4140;1.4874
;;0;0.6444;0.9075;2.4002;1.5236
;;0;0.65;0.3916;1.6368;1.5266
;;0;0.8;0.3908;1.6347;1.5863
;;0;0.9;0.3902;1.6239;1.6128
;;0;1;0.3903;1.6116;1.6730